rank,ticker,name,market_cap_krw,market_cap_h,sector,market
190,001120.KS,LX인터내셔널,1463200000000,1.46조,유통,KOSPI
191,097230.KS,HJ중공업,1453800000000,1.45조,건설,KOSPI
192,020560.KS,아시아나항공,1444000000000,1.44조,운송·창고,KOSPI
193,006280.KS,녹십자,1402400000000,1.40조,제약,KOSPI
194,322000.KS,HD현대에너지솔루션,1365300000000,1.37조,전기·전자,KOSPI
195,093370.KS,후성,1334300000000,1.33조,화학,KOSPI
196,229640.KS,LS에코에너지,1312300000000,1.31조,금융,KOSPI
197,415640.KS,KB발해인프라,1307600000000,1.31조,인프라투용,KOSPI
198,192080.KS,더블유게임즈,1302200000000,1.30조,IT 서비스,KOSPI
199,005070.KS,코스모신소재,1288700000000,1.29조,화학,KOSPI
200,181710.KS,NHN,1272500000000,1.27조,IT 서비스,KOSPI
201,017960.KS,한국카본,1271200000000,1.27조,금속,KOSPI
202,003540.KS,대신증권,1263200000000,1.26조,증권,KOSPI
203,007310.KS,오뚜기,1246400000000,1.25조,음식료·담배,KOSPI
204,089860.KS,롯데렌탈,1241800000000,1.24조,일반서비스,KOSPI
205,012630.KS,HDC,1206800000000,1.21조,금융,KOSPI
206,082640.KS,동양생명,1206400000000,1.21조,보험,KOSPI
207,004000.KS,롯데정밀화학,1193300000000,1.19조,화학,KOSPI
208,294870.KS,HDC현대산업개발,1183700000000,1.18조,건설,KOSPI
209,361610.KS,SK아이이테크놀로지,1180200000000,1.18조,전기·전자,KOSPI
210,298020.KS,효성티앤씨,1177100000000,1.18조,화학,KOSPI
211,034230.KS,파라다이스,1169900000000,1.17조,오락·문화,KOSPI
212,032350.KS,롯데관광개발,1166400000000,1.17조,일반서비스,KOSPI
213,003570.KS,SNT다이내믹스,1137200000000,1.14조,운송장비·부품,KOSPI
214,030610.KS,교보증권,1120300000000,1.12조,증권,KOSPI
215,001430.KS,세아베스틸지주,1070500000000,1.07조,금속,KOSPI
216,300720.KS,한일시멘트,1053200000000,1.05조,비금속,KOSPI
217,000080.KS,하이트진로,1049200000000,1.05조,음식료·담배,KOSPI
218,057050.KS,현대홈쇼핑,1047600000000,1.05조,유통,KOSPI
219,077970.KS,STX엔진,1033800000000,1.03조,기계·장비,KOSPI
220,330590.KS,롯데리츠,1014300000000,1.01조,리츠,KOSPI
221,003090.KS,대웅,1004700000000,1.00조,제약,KOSPI
222,195870.KS,해성디에스,999600000000,9996억,전기·전자,KOSPI
223,280360.KS,롯데웰푸드,984000000000,9840억,음식료·담배,KOSPI
224,003530.KS,한화투자증권,981600000000,9816억,증권,KOSPI
225,001820.KS,삼화콘덴서공업,978200000000,9782억,전기·전자,KOSPI
226,185750.KS,종근당,964800000000,9648억,제약,KOSPI
227,000210.KS,DL,957700000000,9577억,화학,KOSPI
228,003240.KS,태광산업,954200000000,9542억,화학,KOSPI
229,005300.KS,롯데칠성음료,945500000000,9455억,음식료·담배,KOSPI
230,009450.KS,경동나비엔,926600000000,9266억,전기·전자,KOSPI
231,192400.KS,쿠쿠홀딩스,897900000000,8979억,금융,KOSPI
232,499790.KS,GS피앤엘,872600000000,8726억,금융,KOSPI
233,003470.KS,유안타증권,857400000000,8574억,증권,KOSPI
234,006340.KS,대원전선,857100000000,8571억,전기·전자,KOSPI
235,006120.KS,SK디스커버리,850700000000,8507억,금융,KOSPI
236,451800.KS,한화리츠,846800000000,8468억,리츠,KOSPI
237,100090.KS,SK오션플랜트,843500000000,8435억,금속,KOSPI
238,456040.KS,OCI,822700000000,8227억,화학,KOSPI
239,009240.KS,한샘,814300000000,8143억,유통,KOSPI
240,030190.KS,NICE평가정보,811800000000,8118억,IT 서비스,KOSPI
241,036530.KS,SNT홀딩스,801300000000,8013억,금융,KOSPI
242,365550.KS,ESR켄달스퀘어리츠,781300000000,7813억,리츠,KOSPI
243,071320.KS,지역난방공사,768800000000,7688억,전기·가스,KOSPI
244,137310.KS,에스디바이오센서,757100000000,7571억,의료·정밀기기,KOSPI
245,004490.KS,세방전지,751200000000,7512억,전기·전자,KOSPI
246,214320.KS,이노션,743600000000,7436억,일반서비스,KOSPI
247,079160.KS,CJ CGV,726900000000,7269억,오락·문화,KOSPI
248,000400.KS,롯데손해보험,710700000000,7107억,보험,KOSPI
249,003850.KS,보령,703500000000,7035억,제약,KOSPI
250,000370.KS,한화손해보험,700400000000,7004억,보험,KOSPI
251,064960.KS,SNT모티브,695400000000,6954억,운송장비·부품,KOSPI
252,006650.KS,대한유화,692300000000,6923억,화학,KOSPI
253,285130.KS,SK케미칼,691100000000,6911억,화학,KOSPI
254,005690.KS,파미셀,690000000000,6900억,전기·전자,KOSPI
255,248070.KS,솔루엠,689500000000,6895억,전기·전자,KOSPI
256,002350.KS,넥센타이어,681700000000,6817억,화학,KOSPI
257,000670.KS,영풍,661900000000,6619억,금속,KOSPI
258,025540.KS,한국단자공업,658500000000,6585억,전기·전자,KOSPI
259,093050.KS,LF,653500000000,6535억,섬유·의류,KOSPI
260,002960.KS,한국쉘석유,651300000000,6513억,화학,KOSPI
261,075580.KS,세진중공업,650400000000,6504억,운송장비·부품,KOSPI
262,298050.KS,HS효성첨단소재,646000000000,6460억,화학,KOSPI
263,114090.KS,GKL,640800000000,6408억,오락·문화,KOSPI
264,001570.KS,금양,633300000000,6333억,화학,KOSPI
265,069260.KS,티케이지휴켐스,632800000000,6328억,화학,KOSPI
266,293940.KS,신한알파리츠,628900000000,6289억,리츠,KOSPI
267,090460.KS,비에이치,621300000000,6213억,전기·전자,KOSPI
268,108320.KS,LX세미콘,619700000000,6197억,전기·전자,KOSPI
269,006380.KS,카프로,618500000000,6185억,화학,KOSPI
270,317450.KS,명인제약,618300000000,6183억,제약,KOSPI
271,005880.KS,대한해운,616800000000,6168억,운송·창고,KOSPI
272,005180.KS,빙그레,616400000000,6164억,음식료·담배,KOSPI
273,001680.KS,대상,608100000000,6081억,음식료·담배,KOSPI
274,006110.KS,삼아알미늄,600400000000,6004억,금속,KOSPI
275,003160.KS,디아이,597100000000,5971억,의료·정밀기기,KOSPI
276,453340.KS,현대그린푸드,593300000000,5933억,유통,KOSPI
277,010780.KS,아이에스동서,588600000000,5886억,비금속,KOSPI
278,383800.KS,LX홀딩스,582800000000,5828억,금융,KOSPI
279,007700.KS,F&F 홀딩스,580800000000,5808억,금융,KOSPI
280,014820.KS,동원시스템즈,579800000000,5798억,화학,KOSPI
281,017940.KS,E1,578300000000,5783억,유통,KOSPI
282,002840.KS,미원상사,570000000000,5700억,화학,KOSPI
283,003620.KS,KG모빌리티,566600000000,5666억,운송장비·부품,KOSPI
284,001270.KS,부국증권,563100000000,5631억,증권,KOSPI
285,000640.KS,동아쏘시오홀딩스,562800000000,5628억,금융,KOSPI
286,001060.KS,JW중외제약,562400000000,5624억,제약,KOSPI
287,033240.KS,자화전자,559600000000,5596억,전기·전자,KOSPI
288,100840.KS,SNT에너지,554200000000,5542억,기계·장비,KOSPI
289,002990.KS,금호건설,548100000000,5481억,건설,KOSPI
290,094800.KS,맵스리얼티,544900000000,5449억,,KOSPI
291,001510.KS,SK증권,535400000000,5354억,증권,KOSPI
292,005090.KS,SGC에너지,535300000000,5353억,전기·가스,KOSPI
293,336370.KS,솔루스첨단소재,535100000000,5351억,전기·전자,KOSPI
294,178920.KS,PI첨단소재,532100000000,5321억,화학,KOSPI
295,268280.KS,미원에스씨,518500000000,5185억,화학,KOSPI
296,002020.KS,코오롱,517600000000,5176억,금융,KOSPI
297,003300.KS,한일홀딩스,512700000000,5127억,비금속,KOSPI
298,016380.KS,KG스틸,508000000000,5080억,금속,KOSPI
299,001500.KS,현대차증권,497100000000,4971억,증권,KOSPI
300,448730.KS,삼성FN리츠,496200000000,4962억,리츠,KOSPI
301,058650.KS,세아홀딩스,495100000000,4951억,금속,KOSPI
302,001530.KS,디아이동일,494100000000,4941억,유통,KOSPI
303,079900.KS,전진건설로봇,492500000000,4925억,기계·장비,KOSPI
304,039130.KS,하나투어,487900000000,4879억,일반서비스,KOSPI
305,005810.KS,풍산홀딩스,484400000000,4844억,금융,KOSPI
306,020000.KS,한섬,478900000000,4789억,섬유·의류,KOSPI
307,009410.KS,태영건설,475500000000,4755억,건설,KOSPI
308,145990.KS,삼양사,475400000000,4754억,음식료·담배,KOSPI
309,284740.KS,쿠쿠홈시스,471200000000,4712억,일반서비스,KOSPI
310,377740.KS,바이오노트,470200000000,4702억,제약,KOSPI
311,002240.KS,고려제강,463100000000,4631억,금속,KOSPI
312,005250.KS,녹십자홀딩스,460900000000,4609억,일반서비스,KOSPI
313,249420.KS,일동제약,460300000000,4603억,제약,KOSPI
314,161000.KS,애경케미칼,453900000000,4539억,화학,KOSPI
315,008060.KS,대덕,448300000000,4483억,금융,KOSPI
316,000070.KS,삼양홀딩스,440200000000,4402억,금융,KOSPI
317,034310.KS,NICE,430100000000,4301억,일반서비스,KOSPI
318,003030.KS,세아제강지주,429500000000,4295억,금융,KOSPI
319,031430.KS,신세계인터내셔날,425100000000,4251억,유통,KOSPI
320,003280.KS,흥아해운,424800000000,4248억,운송·창고,KOSPI
321,014830.KS,유니드,420300000000,4203억,화학,KOSPI
322,460860.KS,동국제강,417700000000,4177억,금속,KOSPI
323,001200.KS,유진증권,416500000000,4165억,증권,KOSPI
324,004700.KS,조광피혁,415600000000,4156억,섬유·의류,KOSPI
325,072710.KS,농심홀딩스,415500000000,4155억,금융,KOSPI
326,019170.KS,신풍제약,414100000000,4141억,제약,KOSPI
327,004690.KS,삼천리,411300000000,4113억,전기·가스,KOSPI
328,417310.KS,코람코더원리츠,404800000000,4048억,리츠,KOSPI
329,016610.KS,DB증권,396900000000,3969억,증권,KOSPI
330,029530.KS,신도리코,395400000000,3954억,전기·전자,KOSPI
331,357120.KS,코람코라이프인프라리츠,391300000000,3913억,리츠,KOSPI
332,003000.KS,부광약품,389200000000,3892억,제약,KOSPI
333,016590.KS,신대양제지,386100000000,3861억,종이·목재,KOSPI
334,015360.KS,INVENI,385000000000,3850억,일반서비스,KOSPI
335,452260.KS,한화갤러리아,380000000000,3800억,유통,KOSPI
336,027410.KS,BGF,379000000000,3790억,금융,KOSPI
337,381970.KS,케이카,377400000000,3774억,유통,KOSPI
338,403550.KS,쏘카,377100000000,3771억,일반서비스,KOSPI
339,006220.KS,제주은행,373100000000,3731억,금융,KOSPI
340,005420.KS,코스모화학,372600000000,3726억,화학,KOSPI
341,009900.KS,명신산업,371500000000,3715억,운송장비·부품,KOSPI
342,005950.KS,이수화학,368100000000,3681억,화학,KOSPI
343,105630.KS,한세실업,366000000000,3660억,섬유·의류,KOSPI
344,002030.KS,아세아,361900000000,3619억,일반서비스,KOSPI
345,271940.KS,일진하이솔루스,361300000000,3613억,운송장비·부품,KOSPI
346,092230.KS,KPX홀딩스,361200000000,3612억,화학,KOSPI
347,344820.KS,케이씨씨글라스,360900000000,3609억,비금속,KOSPI
348,001940.KS,KISCO홀딩스,356500000000,3565억,금속,KOSPI
349,002810.KS,삼영무역,355100000000,3551억,유통,KOSPI
350,017900.KS,광전자,354600000000,3546억,전기·전자,KOSPI
351,130660.KS,한전산업,350500000000,3505억,일반서비스,KOSPI
352,170900.KS,동아에스티,350200000000,3502억,제약,KOSPI
353,194370.KS,제이에스코퍼레이션,350200000000,3502억,섬유·의류,KOSPI
354,004710.KS,한솔테크닉스,347800000000,3478억,전기·전자,KOSPI
355,089590.KS,제주항공,347600000000,3476억,운송·창고,KOSPI
356,017810.KS,풀무원,344600000000,3446억,음식료·담배,KOSPI
357,060980.KS,HL홀딩스,344500000000,3445억,금융,KOSPI
358,008730.KS,율촌화학,344000000000,3440억,화학,KOSPI
359,145720.KS,덴티움,343700000000,3437억,의료·정밀기기,KOSPI
360,037710.KS,광주신세계,343600000000,3436억,유통,KOSPI
361,306200.KS,세아제강,340600000000,3406억,금속,KOSPI
362,104700.KS,한국철강,335000000000,3350억,금속,KOSPI
363,183190.KS,아세아시멘트,331400000000,3314억,비금속,KOSPI
364,011930.KS,신성이엔지,330200000000,3302억,전기·전자,KOSPI
365,007690.KS,국도화학,329700000000,3297억,화학,KOSPI
366,009160.KS,SIMPAC,327500000000,3275억,금속,KOSPI
367,005610.KS,SPC삼립,327000000000,3270억,음식료·담배,KOSPI
368,029460.KS,케이씨,323500000000,3235억,의료·정밀기기,KOSPI
369,126560.KS,현대퓨처넷,318900000000,3189억,통신,KOSPI
370,950210.KS,프레스티지바이오파마,318500000000,3185억,,KOSPI
371,097520.KS,엠씨넥스,315800000000,3158억,전기·전자,KOSPI
372,012030.KS,DB,312800000000,3128억,IT 서비스,KOSPI
373,005720.KS,넥센,312600000000,3126억,화학,KOSPI
374,002310.KS,아세아제지,310100000000,3101억,종이·목재,KOSPI
375,026890.KS,스틱인베스트먼트,306300000000,3063억,금융,KOSPI
376,016800.KS,퍼시스,303000000000,3030억,제조,KOSPI
377,011760.KS,현대코퍼레이션,301000000000,3010억,유통,KOSPI
378,009290.KS,광동제약,300300000000,3003억,제약,KOSPI
379,018250.KS,애경산업,299800000000,2998억,화학,KOSPI
380,126720.KS,수산인더스트리,299300000000,2993억,건설,KOSPI
381,010690.KS,화신,294000000000,2940억,운송장비·부품,KOSPI
382,024720.KS,콜마홀딩스,293200000000,2932억,금융,KOSPI
383,004430.KS,송원산업,291800000000,2918억,화학,KOSPI
384,200880.KS,서연이화,291400000000,2914억,운송장비·부품,KOSPI
385,108670.KS,LX하우시스,287900000000,2879억,화학,KOSPI
386,005680.KS,삼영전자공업,287800000000,2878억,전기·전자,KOSPI
387,105840.KS,우진,286200000000,2862억,의료·정밀기기,KOSPI
388,025860.KS,남해화학,285700000000,2857억,화학,KOSPI
389,192650.KS,드림텍,285600000000,2856억,전기·전자,KOSPI
390,034830.KS,한국토지신탁,282000000000,2820억,금융,KOSPI
391,096760.KS,JW홀딩스,282000000000,2820억,금융,KOSPI
392,010820.KS,퍼스텍,280400000000,2804억,금속,KOSPI
393,092790.KS,넥스틸,277200000000,2772억,금속,KOSPI
