rank,ticker,name,market_cap_krw,market_cap_h,sector,market
352,137400.KQ,피엔티,696500000000,6965억,기계·장비,KOSDAQ
353,035760.KQ,CJ ENM,693000000000,6930억,오락·문화,KOSDAQ
354,285130.KS,SK케미칼,692000000000,6920억,화학,KOSPI
355,189300.KQ,인텔리안테크,688300000000,6883억,전기·전자,KOSDAQ
356,074600.KQ,원익QnC,683500000000,6835억,비금속,KOSDAQ
357,445680.KQ,큐리옥스바이오시스템즈,682100000000,6821억,의료·정밀기기,KOSDAQ
358,041830.KQ,인바디,672700000000,6727억,의료·정밀기기,KOSDAQ
359,093320.KQ,케이아이엔엑스,669000000000,6690억,IT 서비스,KOSDAQ
360,033100.KQ,제룡전기,668200000000,6682억,전기·전자,KOSDAQ
361,115180.KQ,큐리언트,668100000000,6681억,일반서비스,KOSDAQ
362,466100.KQ,클로봇,665800000000,6658억,IT 서비스,KOSDAQ
363,000370.KS,한화손해보험,663100000000,6631억,보험,KOSPI
364,006730.KQ,서부T&D,655600000000,6556억,일반서비스,KOSDAQ
365,253450.KQ,스튜디오드래곤,652300000000,6523억,오락·문화,KOSDAQ
366,005090.KS,SGC에너지,652000000000,6520억,전기·가스,KOSPI
367,248070.KS,솔루엠,651700000000,6517억,전기·전자,KOSPI
368,090360.KQ,로보스타,649400000000,6494억,기계·장비,KOSDAQ
369,093050.KS,LF,649100000000,6491억,섬유·의류,KOSPI
370,036830.KQ,솔브레인홀딩스,646900000000,6469억,일반서비스,KOSDAQ
371,032500.KQ,케이엠더블유,646400000000,6464억,전기·전자,KOSDAQ
372,002960.KS,한국쉘석유,643500000000,6435억,화학,KOSPI
373,293940.KS,신한알파리츠,637400000000,6374억,리츠,KOSPI
374,005690.KS,파미셀,634200000000,6342억,전기·전자,KOSPI
375,079940.KQ,가비아,631400000000,6314억,IT 서비스,KOSDAQ
376,000670.KS,영풍,629600000000,6296억,금속,KOSPI
377,456040.KS,OCI,629400000000,6294억,화학,KOSPI
378,005180.KS,빙그레,629400000000,6294억,음식료·담배,KOSPI
379,317450.KS,명인제약,623400000000,6234억,제약,KOSPI
380,171090.KQ,선익시스템,622800000000,6228억,기계·장비,KOSDAQ
381,006380.KS,카프로,618500000000,6185억,화학,KOSPI
382,053800.KQ,안랩,614200000000,6142억,IT 서비스,KOSDAQ
383,025540.KS,한국단자공업,614000000000,6140억,전기·전자,KOSPI
384,019210.KQ,와이지-원,611100000000,6111억,금속,KOSDAQ
385,001680.KS,대상,610200000000,6102억,음식료·담배,KOSPI
386,048410.KQ,현대바이오,608000000000,6080억,화학,KOSDAQ
387,225570.KQ,넥슨게임즈,604600000000,6046억,IT 서비스,KOSDAQ
388,003160.KS,디아이,604200000000,6042억,의료·정밀기기,KOSPI
389,069260.KS,티케이지휴켐스,601700000000,6017억,화학,KOSPI
390,002350.KS,넥센타이어,600700000000,6007억,화학,KOSPI
391,005880.KS,대한해운,590600000000,5906억,운송·창고,KOSPI
392,383800.KS,LX홀딩스,589600000000,5896억,금융,KOSPI
393,161580.KQ,필옵틱스,589600000000,5896억,기계·장비,KOSDAQ
394,000400.KS,롯데손해보험,588700000000,5887억,보험,KOSPI
395,000640.KS,동아쏘시오홀딩스,588400000000,5884억,금융,KOSPI
396,102710.KQ,이엔에프테크놀로지,585800000000,5858억,화학,KOSDAQ
397,014820.KS,동원시스템즈,584200000000,5842억,화학,KOSPI
398,453340.KS,현대그린푸드,583500000000,5835억,유통,KOSPI
399,052400.KQ,코나아이,581100000000,5811억,IT 서비스,KOSDAQ
400,017940.KS,E1,576900000000,5769억,유통,KOSPI
401,114090.KS,GKL,575300000000,5753억,오락·문화,KOSPI
402,397030.KQ,에이프릴바이오,571300000000,5713억,일반서비스,KOSDAQ
403,075580.KS,세진중공업,569100000000,5691억,운송장비·부품,KOSPI
404,268280.KS,미원에스씨,568500000000,5685억,화학,KOSPI
405,094800.KS,맵스리얼티,568100000000,5681억,미분류,KOSPI
406,251970.KQ,펌텍코리아,567300000000,5673억,화학,KOSDAQ
407,023160.KQ,태광,566500000000,5665억,금속,KOSDAQ
408,490470.KQ,세미파이브,562800000000,5628억,일반서비스,KOSDAQ
409,094170.KQ,동운아나텍,562500000000,5625억,전기·전자,KOSDAQ
410,006650.KS,대한유화,560300000000,5603억,화학,KOSPI
411,007700.KS,F&F 홀딩스,559700000000,5597억,금융,KOSPI
412,003300.KS,한일홀딩스,556500000000,5565억,비금속,KOSPI
413,112040.KQ,위메이드,556400000000,5564억,IT 서비스,KOSDAQ
414,399720.KQ,가온칩스,552600000000,5526억,전기·전자,KOSDAQ
415,003620.KS,KG모빌리티,552500000000,5525억,운송장비·부품,KOSPI
416,016380.KS,KG스틸,552000000000,5520억,금속,KOSPI
417,001060.KS,JW중외제약,550700000000,5507억,제약,KOSPI
418,006110.KS,삼아알미늄,550500000000,5505억,금속,KOSPI
419,108320.KS,LX세미콘,550500000000,5505억,전기·전자,KOSPI
420,041960.KQ,코미팜,549700000000,5497억,제약,KOSDAQ
421,050890.KQ,쏠리드,548600000000,5486억,전기·전자,KOSDAQ
422,052020.KQ,에스티큐브,547900000000,5479억,유통,KOSDAQ
423,010780.KS,아이에스동서,544600000000,5446억,비금속,KOSPI
424,037460.KQ,삼지전자,544200000000,5442억,전기·전자,KOSDAQ
425,124500.KQ,아이티센글로벌,544100000000,5441억,IT 서비스,KOSDAQ
426,100840.KS,SNT에너지,543900000000,5439억,기계·장비,KOSPI
427,001270.KS,부국증권,541300000000,5413억,증권,KOSPI
428,044490.KQ,태웅,541200000000,5412억,금속,KOSDAQ
429,002840.KS,미원상사,536000000000,5360억,화학,KOSPI
430,222080.KQ,씨아이에스,529700000000,5297억,기계·장비,KOSDAQ
431,178920.KS,PI첨단소재,528600000000,5286억,화학,KOSPI
432,086900.KQ,메디톡스,528400000000,5284억,제약,KOSDAQ
433,053610.KQ,프로텍,526500000000,5265억,기계·장비,KOSDAQ
434,090460.KS,비에이치,523500000000,5235억,전기·전자,KOSPI
435,033240.KS,자화전자,521800000000,5218억,전기·전자,KOSPI
436,476060.KQ,온코닉테라퓨틱스,521300000000,5213억,일반서비스,KOSDAQ
437,060250.KQ,NHN KCP,510400000000,5104억,금융,KOSDAQ
438,058650.KS,세아홀딩스,508600000000,5086억,금속,KOSPI
439,045100.KQ,한양이엔지,508400000000,5084억,일반서비스,KOSDAQ
440,005810.KS,풍산홀딩스,508200000000,5082억,금융,KOSPI
441,456160.KQ,지투지바이오,506400000000,5064억,제약,KOSDAQ
442,082270.KQ,젬백스,504700000000,5047억,기계·장비,KOSDAQ
443,358570.KQ,지아이이노베이션,504500000000,5045억,일반서비스,KOSDAQ
444,121600.KQ,나노신소재,504000000000,5040억,화학,KOSDAQ
445,046890.KQ,서울반도체,500300000000,5003억,전기·전자,KOSDAQ
446,059090.KQ,미코,499900000000,4999억,전기·전자,KOSDAQ
447,001530.KS,디아이동일,498200000000,4982억,유통,KOSPI
448,160190.KQ,하이젠알앤엠,493600000000,4936억,전기·전자,KOSDAQ
449,295310.KQ,에이치브이엠,492700000000,4927억,금속,KOSDAQ
450,099190.KQ,아이센스,491700000000,4917억,의료·정밀기기,KOSDAQ
451,101160.KQ,월덱스,491200000000,4912억,전기·전자,KOSDAQ
452,211050.KQ,인카금융서비스,488700000000,4887억,금융,KOSDAQ
453,376300.KQ,디어유,487800000000,4878억,IT 서비스,KOSDAQ
454,448730.KS,삼성FN리츠,487100000000,4871억,리츠,KOSPI
455,383310.KQ,에코프로에이치엔,484500000000,4845억,화학,KOSDAQ
456,009410.KS,태영건설,484200000000,4842억,건설,KOSPI
457,067160.KQ,SOOP,483900000000,4839억,IT 서비스,KOSDAQ
458,033500.KQ,동성화인텍,481600000000,4816억,화학,KOSDAQ
459,001510.KS,SK증권,479900000000,4799억,증권,KOSPI
460,460930.KQ,현대힘스,476600000000,4766억,운송장비·부품,KOSDAQ
461,122640.KQ,예스티,475300000000,4753억,기계·장비,KOSDAQ
462,034310.KS,NICE,475300000000,4753억,일반서비스,KOSPI
463,039130.KS,하나투어,473200000000,4732억,일반서비스,KOSPI
464,340570.KQ,티앤엘,473000000000,4730억,제약,KOSDAQ
465,284740.KS,쿠쿠홈시스,471200000000,4712억,일반서비스,KOSPI
466,377740.KS,바이오노트,468700000000,4687억,제약,KOSPI
467,001500.KS,현대차증권,466200000000,4662억,증권,KOSPI
468,079900.KS,전진건설로봇,465500000000,4655억,기계·장비,KOSPI
469,015750.KQ,성우하이텍,461600000000,4616억,운송장비·부품,KOSDAQ
470,336370.KS,솔루스첨단소재,460600000000,4606억,전기·전자,KOSPI
471,034950.KQ,한국기업평가,460400000000,4604억,일반서비스,KOSDAQ
472,056080.KQ,유진로봇,455000000000,4550억,기계·장비,KOSDAQ
473,475960.KQ,토모큐브,453500000000,4535억,의료·정밀기기,KOSDAQ
474,000070.KS,삼양홀딩스,451800000000,4518억,금융,KOSPI
475,002240.KS,고려제강,451400000000,4514억,금속,KOSPI
476,145990.KS,삼양사,448100000000,4481억,음식료·담배,KOSPI
477,005250.KS,녹십자홀딩스,447200000000,4472억,일반서비스,KOSPI
478,003030.KS,세아제강지주,446900000000,4469억,금융,KOSPI
479,035890.KQ,서희건설,445600000000,4456억,건설,KOSDAQ
480,249420.KS,일동제약,444800000000,4448억,제약,KOSPI
